tube,V_ctl,R_DS,x,absVd,phase_Vd_deg,abs_n_diff,phase_n_diff_deg,demod_dc_mV
IV-6,-1.3388,1409.44,0.88558,1.11209,-131.53,0.275649,-131.53,-116.3420
IV-6,-1.3425,1443.00,0.90666,1.12670,-132.20,0.279271,-132.20,-119.4188
IV-6,-1.3462,1478.20,0.92878,1.14154,-132.89,0.282948,-132.89,-122.5844
IV-6,-1.3500,1515.15,0.95200,1.15660,-133.59,0.286680,-133.59,-125.8399
IV-6,-1.3538,1554.00,0.97641,1.17187,-134.32,0.290467,-134.32,-129.1859
IV-6,-1.3575,1594.90,1.00210,1.18736,-135.06,0.294305,-135.06,-132.6230
IV-6,-1.3613,1638.00,1.02919,1.20305,-135.82,0.298195,-135.82,-136.1514
IV-6,-1.3650,1683.50,1.05778,1.21894,-136.61,0.302132,-136.61,-139.7708
IV-6,-1.3687,1731.60,1.08800,1.23501,-137.41,0.306115,-137.41,-143.4805
IV-6,-1.3725,1782.53,1.12000,1.25125,-138.24,0.310141,-138.24,-147.2793
IV-6,-1.3762,1836.55,1.15394,1.26765,-139.09,0.314207,-139.09,-151.1657
IV-6,-1.3800,1893.94,1.19000,1.28419,-139.96,0.318307,-139.96,-155.1371
IV-6,-1.3838,1955.03,1.22838,1.30086,-140.85,0.322439,-140.85,-159.1908
IV-6,-1.3875,2020.20,1.26933,1.31764,-141.77,0.326597,-141.77,-163.3228
IV-6,-1.3913,2089.86,1.31310,1.33450,-142.71,0.330775,-142.71,-167.5287
IV-6,-1.3950,2164.50,1.36000,1.35141,-143.67,0.334969,-143.67,-171.8030
IV-6,-1.3987,2244.67,1.41037,1.36836,-144.66,0.339170,-144.66,-176.1393
IV-6,-1.4025,2331.00,1.46461,1.38531,-145.68,0.343371,-145.68,-180.5302
IV-6,-1.4062,2424.24,1.52320,1.40223,-146.71,0.347565,-146.71,-184.9672
IV-6,-1.4100,2525.25,1.58666,1.41909,-147.78,0.351743,-147.78,-189.4406
IV-6,-1.4138,2635.05,1.65565,1.43584,-148.87,0.355895,-148.87,-193.9395
IV-6,-1.4175,2754.82,1.73091,1.45245,-149.98,0.360011,-149.98,-198.4518
IV-6,-1.4212,2886.00,1.81333,1.46887,-151.12,0.364081,-151.12,-202.9643
IV-6,-1.4250,3030.30,1.90400,1.48505,-152.29,0.368094,-152.29,-207.4622
IV-6,-1.4287,3189.79,2.00421,1.50096,-153.48,0.372036,-153.48,-211.9297
IV-6,-1.4325,3367.00,2.11555,1.51653,-154.70,0.375895,-154.70,-216.3497
IV-6,-1.4363,3565.06,2.23999,1.53171,-155.94,0.379659,-155.94,-220.7039
IV-6,-1.4400,3787.88,2.37999,1.54646,-157.21,0.383313,-157.21,-224.9729
IV-6,-1.4438,4040.40,2.53866,1.56070,-158.50,0.386844,-158.50,-229.1364
IV-6,-1.4475,4329.00,2.71999,1.57439,-159.81,0.390237,-159.81,-233.1732
IV-6,-1.4512,4662.00,2.92922,1.58746,-161.15,0.393477,-161.15,-237.0616
IV-6,-1.4550,5050.51,3.17333,1.59986,-162.51,0.396550,-162.51,-240.7795
IV-6,-1.4587,5509.64,3.46181,1.61153,-163.89,0.399443,-163.89,-244.3044
IV-6,-1.4625,6060.61,3.80799,1.62241,-165.29,0.402139,-165.29,-247.6142
IV-6,-1.4663,6734.01,4.23110,1.63245,-166.70,0.404627,-166.70,-250.6869
IV-6,-1.4700,7575.76,4.75999,1.64158,-168.14,0.406892,-168.14,-253.5016
IV-6,-1.4737,8658.01,5.43999,1.64978,-169.58,0.408923,-169.58,-256.0382
IV-6,-1.4775,10101.01,6.34665,1.65698,-171.05,0.410707,-171.05,-258.2780
IV-6,-1.4812,12121.21,7.61598,1.66314,-172.52,0.412236,-172.52,-260.2040
IV-6,-1.4850,15151.52,9.51998,1.66824,-174.00,0.413499,-174.00,-261.8014
IV-6,-1.4888,20202.02,12.69330,1.67224,-175.50,0.414490,-175.50,-263.0574
IV-6,-1.4925,30303.03,19.03996,1.67511,-176.99,0.415202,-176.99,-263.9619
IV-6,-1.4963,60606.06,38.07991,1.67684,-178.50,0.415631,-178.50,-264.5076
IV-6,-1.5000,1000000000.00,628318.53072,1.67742,-180.00,0.415774,-180.00,-264.6901
ILC1-1/7,-0.0000,151.52,0.09520,0.72332,-95.44,0.164104,-95.44,-9.9009
ILC1-1/7,-0.0037,151.89,0.09544,0.72512,-95.45,0.164512,-95.45,-9.9502
ILC1-1/7,-0.0075,152.28,0.09568,0.72692,-95.47,0.164921,-95.47,-9.9998
ILC1-1/7,-0.0112,152.66,0.09592,0.72874,-95.48,0.165333,-95.48,-10.0498
ILC1-1/7,-0.0150,153.05,0.09616,0.73056,-95.49,0.165747,-95.49,-10.1001
ILC1-1/7,-0.0187,153.43,0.09640,0.73239,-95.51,0.166162,-95.51,-10.1509
ILC1-1/7,-0.0225,153.82,0.09665,0.73423,-95.52,0.166580,-95.52,-10.2020
ILC1-1/7,-0.0262,154.21,0.09690,0.73608,-95.53,0.167000,-95.53,-10.2535
ILC1-1/7,-0.0300,154.61,0.09714,0.73794,-95.55,0.167422,-95.55,-10.3054
ILC1-1/7,-0.0338,155.00,0.09739,0.73981,-95.56,0.167846,-95.56,-10.3576
ILC1-1/7,-0.0375,155.40,0.09764,0.74169,-95.58,0.168273,-95.58,-10.4103
ILC1-1/7,-0.0413,155.80,0.09789,0.74358,-95.59,0.168701,-95.59,-10.4634
ILC1-1/7,-0.0450,156.20,0.09814,0.74548,-95.61,0.169132,-95.61,-10.5169
ILC1-1/7,-0.0488,156.60,0.09840,0.74739,-95.62,0.169565,-95.62,-10.5708
ILC1-1/7,-0.0525,157.01,0.09865,0.74930,-95.63,0.170000,-95.63,-10.6251
ILC1-1/7,-0.0563,157.42,0.09891,0.75123,-95.65,0.170437,-95.65,-10.6798
ILC1-1/7,-0.0600,157.83,0.09917,0.75317,-95.66,0.170876,-95.66,-10.7350
ILC1-1/7,-0.0638,158.24,0.09943,0.75512,-95.68,0.171318,-95.68,-10.7906
ILC1-1/7,-0.0675,158.65,0.09969,0.75707,-95.69,0.171762,-95.69,-10.8466
ILC1-1/7,-0.0712,159.07,0.09995,0.75904,-95.71,0.172209,-95.71,-10.9030
ILC1-1/7,-0.0750,159.49,0.10021,0.76102,-95.72,0.172657,-95.72,-10.9599
ILC1-1/7,-0.0788,159.91,0.10047,0.76301,-95.74,0.173108,-95.74,-11.0173
ILC1-1/7,-0.0825,160.33,0.10074,0.76501,-95.75,0.173562,-95.75,-11.0750
ILC1-1/7,-0.0862,160.76,0.10101,0.76701,-95.77,0.174017,-95.77,-11.1333
ILC1-1/7,-0.0900,161.19,0.10128,0.76903,-95.78,0.174476,-95.78,-11.1920
ILC1-1/7,-0.0938,161.62,0.10155,0.77106,-95.80,0.174936,-95.80,-11.2511
ILC1-1/7,-0.0975,162.05,0.10182,0.77310,-95.81,0.175399,-95.81,-11.3108
ILC1-1/7,-0.1013,162.48,0.10209,0.77516,-95.83,0.175864,-95.83,-11.3709
ILC1-1/7,-0.1050,162.92,0.10237,0.77722,-95.84,0.176332,-95.84,-11.4315
ILC1-1/7,-0.1087,163.36,0.10264,0.77929,-95.86,0.176803,-95.86,-11.4925
ILC1-1/7,-0.1125,163.80,0.10292,0.78137,-95.88,0.177276,-95.88,-11.5541
ILC1-1/7,-0.1163,164.24,0.10320,0.78347,-95.89,0.177751,-95.89,-11.6161
ILC1-1/7,-0.1200,164.69,0.10348,0.78558,-95.91,0.178229,-95.91,-11.6787
ILC1-1/7,-0.1237,165.14,0.10376,0.78769,-95.92,0.178709,-95.92,-11.7417
ILC1-1/7,-0.1275,165.59,0.10404,0.78982,-95.94,0.179192,-95.94,-11.8053
ILC1-1/7,-0.1313,166.04,0.10433,0.79196,-95.96,0.179678,-95.96,-11.8694
ILC1-1/7,-0.1350,166.50,0.10462,0.79412,-95.97,0.180166,-95.97,-11.9340
ILC1-1/7,-0.1388,166.96,0.10490,0.79628,-95.99,0.180657,-95.99,-11.9991
ILC1-1/7,-0.1425,167.42,0.10519,0.79846,-96.01,0.181151,-96.01,-12.0647
ILC1-1/7,-0.1462,167.88,0.10548,0.80064,-96.02,0.181647,-96.02,-12.1309
ILC1-1/7,-0.1500,168.35,0.10578,0.80284,-96.04,0.182146,-96.04,-12.1977
