 1.00000000e+03  4.99984471e-01  5.00000000e-01 
 1.05925373e+03  5.28735086e-01  4.99173612e-01 
 1.12201845e+03  5.57296308e-01  4.96706284e-01 
 1.18850223e+03  5.85483603e-01  4.92638360e-01 
 1.25892541e+03  6.13122086e-01  4.87035311e-01 
 1.33352143e+03  6.40050689e-01  4.79985213e-01 
 1.41253754e+03  6.66125610e-01  4.71595464e-01 
 1.49623566e+03  6.91222895e-01  4.61988966e-01 
 1.58489319e+03  7.15240100e-01  4.51300011e-01 
 1.67880402e+03  7.38097025e-01  4.39670111e-01 
 1.77827941e+03  7.59735588e-01  4.27243987e-01 
 1.88364909e+03  7.80118949e-01  4.14165878e-01 
 1.99526231e+03  7.99230024e-01  4.00576326e-01 
 2.11348904e+03  8.17069550e-01  3.86609494e-01 
 2.23872114e+03  8.33653855e-01  3.72391065e-01 
 2.37137371e+03  8.49012480e-01  3.58036714e-01 
 2.51188643e+03  8.63185776e-01  3.43651120e-01 
 2.66072506e+03  8.76222582e-01  3.29327449e-01 
 2.81838293e+03  8.88178061e-01  3.15147256e-01 
 2.98538262e+03  8.99111737e-01  3.01180712e-01 
 3.16227766e+03  9.09085775e-01  2.87487093e-01 
 3.34965439e+03  9.18163508e-01  2.74115451e-01 
 3.54813389e+03  9.26408209e-01  2.61105418e-01 
 3.75837404e+03  9.33882103e-01  2.48488069e-01 
 3.98107171e+03  9.40645589e-01  2.36286828e-01 
 4.21696503e+03  9.46756654e-01  2.24518357e-01 
 4.46683592e+03  9.52270456e-01  2.13193421e-01 
 4.73151259e+03  9.57239046e-01  2.02317707e-01 
 5.01187234e+03  9.61711209e-01  1.91892573e-01 
 5.30884444e+03  9.65732393e-01  1.81915744e-01 
 5.62341325e+03  9.69344724e-01  1.72381930e-01 
 5.95662144e+03  9.72587069e-01  1.63283379e-01 
 6.30957344e+03  9.75495148e-01  1.54610364e-01 
 6.68343918e+03  9.78101671e-01  1.46351605e-01 
 7.07945784e+03  9.80436505e-01  1.38494639e-01 
 7.49894209e+03  9.82526842e-01  1.31026130e-01 
 7.94328235e+03  9.84397384e-01  1.23932137e-01 
 8.41395142e+03  9.86070518e-01  1.17198341e-01 
 8.91250938e+03  9.87566502e-01  1.10810226e-01 
 9.44060876e+03  9.88903630e-01  1.04753239e-01 
 1.00000000e+04  9.90098401e-01  9.90129153e-02 
 1.05925373e+04  9.91165678e-01  9.35749801e-02 
 1.12201845e+04  9.92118830e-01  8.84254302e-02 
 1.18850223e+04  9.92969875e-01  8.35505978e-02 
 1.25892541e+04  9.93729601e-01  7.89371996e-02 
 1.33352143e+04  9.94407687e-01  7.45723727e-02 
 1.41253754e+04  9.95012813e-01  7.04437005e-02 
 1.49623566e+04  9.95552753e-01  6.65392293e-02 
 1.58489319e+04  9.96034469e-01  6.28474783e-02 
 1.67880402e+04  9.96464192e-01  5.93574432e-02 
 1.77827941e+04  9.96847496e-01  5.60585953e-02 
 1.88364909e+04  9.97189364e-01  5.29408764e-02 
 1.99526231e+04  9.97494252e-01  4.99946912e-02 
 2.11348904e+04  9.97766141e-01  4.72108969e-02 
 2.23872114e+04  9.98008587e-01  4.45807907e-02 
 2.37137371e+04  9.98224767e-01  4.20960968e-02 
 2.51188643e+04  9.98417517e-01  3.97489518e-02 
 2.66072506e+04  9.98589367e-01  3.75318893e-02 
 2.81838293e+04  9.98742579e-01  3.54378246e-02 
 2.98538262e+04  9.98879170e-01  3.34600392e-02 
 3.16227766e+04  9.99000937e-01  3.15921647e-02 
 3.34965439e+04  9.99109487e-01  2.98281674e-02 
 3.54813389e+04  9.99206253e-01  2.81623332e-02 
 3.75837404e+04  9.99292511e-01  2.65892521e-02 
 3.98107171e+04  9.99369401e-01  2.51038041e-02 
 4.21696503e+04  9.99437940e-01  2.37011446e-02 
 4.46683592e+04  9.99499033e-01  2.23766911e-02 
 4.73151259e+04  9.99553488e-01  2.11261096e-02 
 5.01187234e+04  9.99602027e-01  1.99453020e-02 
 5.30884444e+04  9.99645290e-01  1.88303943e-02 
 5.62341325e+04  9.99683853e-01  1.77777243e-02 
 5.95662144e+04  9.99718224e-01  1.67838310e-02 
 6.30957344e+04  9.99748859e-01  1.58454437e-02 
 6.68343918e+04  9.99776164e-01  1.49594721e-02 
 7.07945784e+04  9.99800501e-01  1.41229961e-02 
 7.49894209e+04  9.99822193e-01  1.33332573e-02 
 7.94328235e+04  9.99841526e-01  1.25876500e-02 
 8.41395142e+04  9.99858757e-01  1.18837127e-02 
 8.91250938e+04  9.99874115e-01  1.12191205e-02 
 9.44060876e+04  9.99887804e-01  1.05916778e-02 
 1.00000000e+05  9.99900004e-01  9.99931060e-03 
 1.05925373e+05  9.99910877e-01  9.44006058e-03 
 1.12201845e+05  9.99920569e-01  8.91207824e-03 
 1.18850223e+05  9.99929206e-01  8.41361707e-03 
 1.25892541e+05  9.99936904e-01  7.94302786e-03 
